Term,Subject,Course,CRN,Section,Start Time,End Time,Days,Building,Room,Primary Instructor(s),Additional Instructor(s),Enrollment Actual,Enrollment Maximum,Enrollment Seats Available,Waitlist Capacity,Waitlist Actual,Waitlist Seats Available,Building Code,Room Capacity,Utilization
Fall 2025,CS,CS 4262,90152,A,14:00,15:15,TR,Klaus Advanced Computing,1443,Frank Li,,29,40,11,50,0,50,153,200.0,0.145
Fall 2025,CS,CS 4263,90178,A,14:00,15:15,TR,Skiles,156,Courtney Crooks,,20,20,0,50,45,5,2,41.0,0.4878048780487805
Fall 2025,CS,CS 4267,92193,A,09:30,10:45,TR,Instructional Center,109,Saman Zonouz,,20,20,0,50,50,0,55,70.0,0.2857142857142857
Fall 2025,CS,CS 4290,82134,A,15:30,16:45,MW,Instructional Center,111,Moinuddin Qureshi,,20,20,0,100,50,50,55,116.0,0.1724137931034483
Fall 2025,CS,CS 4290,91154,B,15:30,16:45,TR,Manufacture Rel Discip Complex,2404,Jeffrey Epstein,,20,20,0,50,32,18,135,97.0,0.20618556701030927
Fall 2025,CS,CS 4400,80171,A,15:30,16:45,M,Scheller College of Business,100,Melinda McDaniel,,236,330,94,50,0,50,172,348.0,0.6781609195402298
Fall 2025,CS,CS 4400,80170,B,15:30,16:45,W,Scheller College of Business,100,Melinda McDaniel,,171,330,159,50,0,50,172,348.0,0.49137931034482757
Fall 2025,CS,CS 6035,93360,A,14:00,15:15,TR,Scheller College of Business,300,Wenke Lee,,21,120,99,25,0,25,172,125.0,0.168
Fall 2025,CS,CS 6035,84334,O01,,,,,,Wenke Lee,,0,950,950,999,0,999,,,
Fall 2025,CS,CS 6035,86254,OCY,,,,,,Wenke Lee,,43,359,316,50,0,50,,,
Fall 2025,CS,CS 6035,92336,QSA,,,,,,Mustaque Ahamad,Wenke Lee,0,35,35,0,0,0,,,
Fall 2025,CS,CS 6150,92351,O01,,,,,,Benjamin Manning,,0,50,50,999,0,999,,,
Fall 2025,CS,CS 6200,85484,O01,,,,,,Ada Gavrilovska,,3,900,897,999,0,999,,,
Fall 2025,CS,CS 6200,89200,OSZ,,,,,,Ada Gavrilovska,,0,25,25,0,0,0,,,
Fall 2025,CS,CS 6200,90987,Q,,,,,,Ada Gavrilovska,,0,1,1,0,0,0,,,
Fall 2025,CS,CS 6210,80807,A,11:00,12:15,MW,Instructional Center,111,Ada Gavrilovska,,54,70,16,50,0,50,55,116.0,0.46551724137931033
Fall 2025,CS,CS 6210,83999,O01,,,,,,Umakishore Ramachandran,,0,400,400,999,0,999,,,
Fall 2025,CS,CS 6210,86283,OCY,,,,,,Umakishore Ramachandran,,2,50,48,50,0,50,,,
Fall 2025,CS,CS 6210,89201,OSZ,,,,,,Umakishore Ramachandran,,1,25,24,0,0,0,,,
Fall 2025,CS,CS 6211,90131,A,20:00,20:50,MW,Klaus Advanced Computing,1447,Umakishore Ramachandran,,16,50,34,50,0,50,153,75.0,0.21333333333333335
Fall 2025,CS,CS 6211,90132,AL,,,,,,Umakishore Ramachandran,,16,50,34,0,0,0,,,
Fall 2025,CS,CS 6211,90249,O01,20:00,21:15,W,,,Umakishore Ramachandran,,0,60,60,999,0,999,,,
Fall 2025,CS,CS 6220,85480,A,11:00,12:15,TR,Clough UG Learning Commons,152,Ling Liu,,49,180,131,200,0,200,166,305.0,0.16065573770491803
Fall 2025,CS,CS 6235,80789,A,12:30,13:45,TR,Success Center,152,Calton Pu,,12,70,58,200,0,200,,,
Fall 2025,CS,CS 6238,86197,O01,,,,,,Mustaque Ahamad,,0,150,150,999,0,999,,,
Fall 2025,CS,CS 6238,86281,OCY,,,,,,Mustaque Ahamad,,32,100,68,50,0,50,,,
Fall 2025,CS,CS 6238,93221,QSA,,,,,,Mustaque Ahamad,,0,25,25,0,0,0,,,
Fall 2025,CS,CS 6238,90619,RSZ,,,,,,Changlai Du,,5,30,25,0,0,0,,,
Fall 2025,CS,CS 6239,92323,A,12:30,13:45,MW,Instructional Center,103,Jerry Perullo,,58,180,122,150,0,150,55,300.0,0.19333333333333333
Fall 2025,CS,CS 6239,92355,OCY,,,,,,Jerry Perullo,,17,100,83,50,0,50,,,
Fall 2025,CS,CS 6250,83413,A,09:30,10:45,TR,Howey Physics,L3,Cecilia Testart,,59,90,31,50,0,50,81,153.0,0.38562091503267976
Fall 2025,CS,CS 6250,84000,O01,,,,,,Maria Konte,,2,900,898,999,0,999,,,
Fall 2025,CS,CS 6250,88469,OCY,,,,,,Maria Konte,,14,50,36,25,0,25,,,
Fall 2025,CS,CS 6250,93820,OSZ,,,,,,Maria Konte,,6,25,19,0,0,0,,,
Fall 2025,CSE,CSE 6001,82145,A,12:30,13:20,F,Molecular Sciences and Engr,1224,Richard Vuduc,,1,40,39,50,0,50,167,42.0,0.023809523809523808
Fall 2025,CSE,CSE 6010,86141,A,14:00,16:45,F,Howey Physics,L2,Spencer Bryngelson,,12,125,113,100,0,100,81,153.0,0.0784313725490196
Fall 2025,CSE,CSE 6040,83987,A,14:00,15:15,TR,Klaus Advanced Computing,1456,Richard Vuduc,,1,85,84,50,0,50,153,100.0,0.01
Fall 2025,CSE,CSE 6040,89290,MSA,,,,,,Richard Vuduc,,1,20,19,50,0,50,,,
Fall 2025,CSE,CSE 6040,85278,OAN,,,,,,Richard Vuduc,,354,1400,1046,50,0,50,,,
Fall 2025,CSE,CSE 6040,88250,QCH,,,,,,Richard Vuduc,,0,5,5,0,0,0,,,
Fall 2025,CSE,CSE 6140,82132,A,11:00,12:15,MW,Paper Tricentennial,109,Nabil Imam,,150,150,0,50,30,20,129,223.0,0.672645739910314
Fall 2025,CSE,CSE 6220,87350,O01,,,,,,Richard Vuduc,Andrew Becker,0,250,250,999,0,999,,,
Fall 2025,CSE,CSE 6230,93323,A,08:00,09:15,MW,Ford Environmental Sci &amp; Tech,L1255,Qi Tang,,34,90,56,50,0,50,147,106.0,0.32075471698113206
Fall 2025,CSE,CSE 6242,83776,A,15:30,16:45,TR,Scheller College of Business,100,Max Roozbahani,,67,250,183,50,0,50,172,348.0,0.1925287356321839
Fall 2025,CSE,CSE 6242,84707,O01,,,,,,Duenhorng Chau,Max Roozbahani,0,400,400,999,0,999,,,
Fall 2025,CSE,CSE 6242,85695,OAN,,,,,,Duenhorng Chau,Max Roozbahani,539,910,371,50,0,50,,,
Fall 2025,CSE,CSE 6250,85145,O01,,,,,,Jimeng Sun,,0,150,150,999,0,999,,,
Fall 2025,CSE,CSE 6250,85279,OAN,,,,,,Jimeng Sun,,16,50,34,50,0,50,,,
